committer.date,committer.date_first,committer.date_last,time,freq
1,2023-04-19,2023-04-19,1,1.0
1,2019-07-12,2019-07-12,1,1.0
1,2020-09-18,2020-09-18,1,1.0
1,2023-11-17,2023-11-17,1,1.0
1,2017-11-05,2017-11-05,1,1.0
1,2021-02-05,2021-02-05,1,1.0
1,2021-09-06,2021-09-06,1,1.0
1,2021-07-20,2021-07-20,1,1.0
1,2021-06-10,2021-06-10,1,1.0
1,2019-05-08,2019-05-08,1,1.0
1,2023-02-07,2023-02-07,1,1.0
1,2018-03-30,2018-03-30,1,1.0
1,2018-05-21,2018-05-21,1,1.0
1,2021-11-26,2021-11-26,1,1.0
1,2019-02-27,2019-02-27,1,1.0
1,2021-06-09,2021-06-09,1,1.0
1,2024-02-05,2024-02-05,1,1.0
1,2023-09-04,2023-09-04,1,1.0
1,2020-01-17,2020-01-17,1,1.0
1,2017-08-01,2017-08-01,1,1.0
1,2024-04-24,2024-04-24,1,1.0
1,2020-05-22,2020-05-22,1,1.0
1,2022-07-18,2022-07-18,1,1.0
1,2023-12-20,2023-12-20,1,1.0
1,2017-01-19,2017-01-19,1,1.0
1,2023-06-12,2023-06-12,1,1.0
1,2022-09-08,2022-09-08,1,1.0
1,2023-09-21,2023-09-21,1,1.0
1,2023-10-31,2023-10-31,1,1.0
1,2023-02-07,2023-02-07,1,1.0
1,2023-06-21,2023-06-21,1,1.0
1,2023-06-23,2023-06-23,1,1.0
1,2022-09-16,2022-09-16,1,1.0
1,2022-03-02,2022-03-02,1,1.0
1,2023-03-14,2023-03-14,1,1.0
1,2023-08-31,2023-08-31,1,1.0
1,2021-03-08,2021-03-08,1,1.0
1,2017-07-09,2017-07-09,1,1.0
1,2022-05-13,2022-05-13,1,1.0
1,2018-08-09,2018-08-09,1,1.0
1,2021-04-15,2021-04-15,1,1.0
1,2024-02-08,2024-02-08,1,1.0
1,2020-10-11,2020-10-11,1,1.0
1,2024-02-23,2024-02-23,1,1.0
1,2021-08-24,2021-08-24,1,1.0
1,2023-11-16,2023-11-16,1,1.0
1,2021-06-22,2021-06-22,1,1.0
1,2022-06-17,2022-06-17,1,1.0
1,2018-10-23,2018-10-23,1,1.0
1,2023-02-15,2023-02-15,1,1.0
1,2019-12-07,2019-12-07,1,1.0
1,2023-01-19,2023-01-19,1,1.0
1,2021-05-07,2021-05-07,1,1.0
1,2022-06-27,2022-06-27,1,1.0
1,2021-01-30,2021-01-30,1,1.0
1,2023-09-29,2023-09-29,1,1.0
1,2018-11-04,2018-11-04,1,1.0
1,2021-02-05,2021-02-05,1,1.0
1,2018-12-26,2018-12-26,1,1.0
1,2020-10-05,2020-10-05,1,1.0
1,2020-07-31,2020-07-31,1,1.0
1,2022-04-27,2022-04-27,1,1.0
1,2016-12-22,2016-12-22,1,1.0
1,2023-12-13,2023-12-13,1,1.0
1,2019-08-03,2019-08-03,1,1.0
1,2024-03-19,2024-03-19,1,1.0
1,2022-02-15,2022-02-15,1,1.0
1,2022-01-23,2022-01-23,1,1.0
1,2022-08-20,2022-08-20,1,1.0
1,2021-04-08,2021-04-08,1,1.0
1,2022-01-20,2022-01-20,1,1.0
1,2018-11-05,2018-11-05,1,1.0
1,2020-05-20,2020-05-20,1,1.0
1,2019-07-29,2019-07-29,1,1.0
1,2020-09-08,2020-09-08,1,1.0
1,2020-05-02,2020-05-02,1,1.0
1,2018-08-31,2018-08-31,1,1.0
1,2019-12-04,2019-12-04,1,1.0
1,2024-01-21,2024-01-21,1,1.0
1,2020-12-01,2020-12-01,1,1.0
1,2021-11-02,2021-11-02,1,1.0
1,2019-07-09,2019-07-09,1,1.0
1,2023-04-24,2023-04-24,1,1.0
1,2022-04-13,2022-04-13,1,1.0
1,2023-11-16,2023-11-16,1,1.0
1,2019-05-07,2019-05-07,1,1.0
1,2020-11-06,2020-11-06,1,1.0
1,2017-12-08,2017-12-08,1,1.0
1,2023-01-15,2023-01-15,1,1.0
1,2021-01-14,2021-01-14,1,1.0
1,2019-08-21,2019-08-21,1,1.0
1,2020-05-14,2020-05-14,1,1.0
1,2017-12-19,2017-12-19,1,1.0
1,2022-07-05,2022-07-05,1,1.0
1,2020-08-28,2020-08-28,1,1.0
1,2022-06-30,2022-06-30,1,1.0
1,2020-12-08,2020-12-08,1,1.0
1,2017-06-29,2017-06-29,1,1.0
1,2018-11-22,2018-11-22,1,1.0
1,2020-01-19,2020-01-19,1,1.0
1,2020-02-19,2020-02-19,1,1.0
1,2020-07-09,2020-07-09,1,1.0
1,2024-03-11,2024-03-11,1,1.0
1,2021-06-16,2021-06-16,1,1.0
1,2023-07-19,2023-07-19,1,1.0
1,2023-06-14,2023-06-14,1,1.0
1,2020-03-25,2020-03-25,1,1.0
1,2020-09-25,2020-09-25,1,1.0
1,2018-05-25,2018-05-25,1,1.0
1,2021-09-07,2021-09-07,1,1.0
1,2023-09-02,2023-09-02,1,1.0
1,2023-04-04,2023-04-04,1,1.0
1,2021-10-28,2021-10-28,1,1.0
1,2019-04-22,2019-04-22,1,1.0
1,2023-06-19,2023-06-19,1,1.0
1,2023-12-07,2023-12-07,1,1.0
1,2022-07-21,2022-07-21,1,1.0
1,2021-12-07,2021-12-07,1,1.0
1,2017-05-25,2017-05-25,1,1.0
1,2018-03-25,2018-03-25,1,1.0
1,2023-01-06,2023-01-06,1,1.0
1,2018-04-29,2018-04-29,1,1.0
1,2019-03-14,2019-03-14,1,1.0
1,2017-05-09,2017-05-09,1,1.0
1,2023-03-08,2023-03-08,1,1.0
1,2021-04-04,2021-04-04,1,1.0
1,2019-11-09,2019-11-09,1,1.0
1,2022-06-22,2022-06-22,1,1.0
1,2021-07-16,2021-07-16,1,1.0
1,2024-02-28,2024-02-28,1,1.0
1,2020-03-28,2020-03-28,1,1.0
1,2017-07-27,2017-07-27,1,1.0
1,2022-10-26,2022-10-26,1,1.0
1,2022-02-23,2022-02-23,1,1.0
1,2024-05-05,2024-05-05,1,1.0
1,2017-06-29,2017-06-29,1,1.0
1,2022-02-18,2022-02-18,1,1.0
1,2024-02-26,2024-02-26,1,1.0
1,2017-07-28,2017-07-28,1,1.0
1,2017-11-04,2017-11-04,1,1.0
1,2022-02-23,2022-02-23,1,1.0
1,2024-05-27,2024-05-27,1,1.0
1,2023-06-19,2023-06-19,1,1.0
1,2021-10-26,2021-10-26,1,1.0
1,2020-12-17,2020-12-17,1,1.0
1,2017-08-28,2017-08-28,1,1.0
1,2023-08-20,2023-08-20,1,1.0
