,name,path,sha,size,url,html_url,git_url,download_url,type,_links
42,rust-toolchain.toml,rust-toolchain.toml,ec33a6d0a9122bbb035e832a756a1402cce256d3,98,https://api.github.com/repos/vercel/next.js/contents/rust-toolchain.toml?ref=canary,https://github.com/vercel/next.js/blob/canary/rust-toolchain.toml,https://api.github.com/repos/vercel/next.js/git/blobs/ec33a6d0a9122bbb035e832a756a1402cce256d3,https://raw.githubusercontent.com/vercel/next.js/canary/rust-toolchain.toml,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/rust-toolchain.toml?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/ec33a6d0a9122bbb035e832a756a1402cce256d3', 'html': 'https://github.com/vercel/next.js/blob/canary/rust-toolchain.toml'}"
43,scripts,scripts,d9672a320458fea831f6dbf15a53bbe224bd2a98,0,https://api.github.com/repos/vercel/next.js/contents/scripts?ref=canary,https://github.com/vercel/next.js/tree/canary/scripts,https://api.github.com/repos/vercel/next.js/git/trees/d9672a320458fea831f6dbf15a53bbe224bd2a98,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/scripts?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/d9672a320458fea831f6dbf15a53bbe224bd2a98', 'html': 'https://github.com/vercel/next.js/tree/canary/scripts'}"
44,socket.yaml,socket.yaml,6f8eef07d1f8c1f6c4b3a93553df34aec701d5dd,298,https://api.github.com/repos/vercel/next.js/contents/socket.yaml?ref=canary,https://github.com/vercel/next.js/blob/canary/socket.yaml,https://api.github.com/repos/vercel/next.js/git/blobs/6f8eef07d1f8c1f6c4b3a93553df34aec701d5dd,https://raw.githubusercontent.com/vercel/next.js/canary/socket.yaml,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/socket.yaml?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/6f8eef07d1f8c1f6c4b3a93553df34aec701d5dd', 'html': 'https://github.com/vercel/next.js/blob/canary/socket.yaml'}"
45,test-file.txt,test-file.txt,b8ec101a25009141a337ec6cc68c1ee417977884,33,https://api.github.com/repos/vercel/next.js/contents/test-file.txt?ref=canary,https://github.com/vercel/next.js/blob/canary/test-file.txt,https://api.github.com/repos/vercel/next.js/git/blobs/b8ec101a25009141a337ec6cc68c1ee417977884,https://raw.githubusercontent.com/vercel/next.js/canary/test-file.txt,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/test-file.txt?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/b8ec101a25009141a337ec6cc68c1ee417977884', 'html': 'https://github.com/vercel/next.js/blob/canary/test-file.txt'}"
46,test,test,b0b19b03b7733ea40604b033bc66fc856934d7db,0,https://api.github.com/repos/vercel/next.js/contents/test?ref=canary,https://github.com/vercel/next.js/tree/canary/test,https://api.github.com/repos/vercel/next.js/git/trees/b0b19b03b7733ea40604b033bc66fc856934d7db,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/test?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/b0b19b03b7733ea40604b033bc66fc856934d7db', 'html': 'https://github.com/vercel/next.js/tree/canary/test'}"
47,tsconfig-tsec.json,tsconfig-tsec.json,cd95c7b3c23be55883f49b784707976412d55813,146,https://api.github.com/repos/vercel/next.js/contents/tsconfig-tsec.json?ref=canary,https://github.com/vercel/next.js/blob/canary/tsconfig-tsec.json,https://api.github.com/repos/vercel/next.js/git/blobs/cd95c7b3c23be55883f49b784707976412d55813,https://raw.githubusercontent.com/vercel/next.js/canary/tsconfig-tsec.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/tsconfig-tsec.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/cd95c7b3c23be55883f49b784707976412d55813', 'html': 'https://github.com/vercel/next.js/blob/canary/tsconfig-tsec.json'}"
48,tsconfig.json,tsconfig.json,faab59228f681e63e0bb951a08b59666f5bd9d5b,814,https://api.github.com/repos/vercel/next.js/contents/tsconfig.json?ref=canary,https://github.com/vercel/next.js/blob/canary/tsconfig.json,https://api.github.com/repos/vercel/next.js/git/blobs/faab59228f681e63e0bb951a08b59666f5bd9d5b,https://raw.githubusercontent.com/vercel/next.js/canary/tsconfig.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/tsconfig.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/faab59228f681e63e0bb951a08b59666f5bd9d5b', 'html': 'https://github.com/vercel/next.js/blob/canary/tsconfig.json'}"
49,tsec-exemptions.json,tsec-exemptions.json,1651f7b6fa82607834a914c8d8e40ffb5f106263,972,https://api.github.com/repos/vercel/next.js/contents/tsec-exemptions.json?ref=canary,https://github.com/vercel/next.js/blob/canary/tsec-exemptions.json,https://api.github.com/repos/vercel/next.js/git/blobs/1651f7b6fa82607834a914c8d8e40ffb5f106263,https://raw.githubusercontent.com/vercel/next.js/canary/tsec-exemptions.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/tsec-exemptions.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/1651f7b6fa82607834a914c8d8e40ffb5f106263', 'html': 'https://github.com/vercel/next.js/blob/canary/tsec-exemptions.json'}"
50,turbo.json,turbo.json,3ee8c97f8f7bc5955d0a1ff6d33e735299111d85,415,https://api.github.com/repos/vercel/next.js/contents/turbo.json?ref=canary,https://github.com/vercel/next.js/blob/canary/turbo.json,https://api.github.com/repos/vercel/next.js/git/blobs/3ee8c97f8f7bc5955d0a1ff6d33e735299111d85,https://raw.githubusercontent.com/vercel/next.js/canary/turbo.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/turbo.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/3ee8c97f8f7bc5955d0a1ff6d33e735299111d85', 'html': 'https://github.com/vercel/next.js/blob/canary/turbo.json'}"
51,turbo,turbo,d6576ebc1c50322cb47e955c7a0a82295295612f,0,https://api.github.com/repos/vercel/next.js/contents/turbo?ref=canary,https://github.com/vercel/next.js/tree/canary/turbo,https://api.github.com/repos/vercel/next.js/git/trees/d6576ebc1c50322cb47e955c7a0a82295295612f,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/turbo?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/d6576ebc1c50322cb47e955c7a0a82295295612f', 'html': 'https://github.com/vercel/next.js/tree/canary/turbo'}"
52,vercel.json,vercel.json,3d53349522ab33a869a12bf479aa55c1c971162f,73,https://api.github.com/repos/vercel/next.js/contents/vercel.json?ref=canary,https://github.com/vercel/next.js/blob/canary/vercel.json,https://api.github.com/repos/vercel/next.js/git/blobs/3d53349522ab33a869a12bf479aa55c1c971162f,https://raw.githubusercontent.com/vercel/next.js/canary/vercel.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/vercel.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/3d53349522ab33a869a12bf479aa55c1c971162f', 'html': 'https://github.com/vercel/next.js/blob/canary/vercel.json'}"
